TotalCharges,AvgChargePerMonth,tenure,MonthlyCharges,Contract_Month-to-month,OnlineSecurity_No,PaymentMethod_Electronic check,TechSupport_No,gender,PaperlessBilling,InternetService_Fiber optic,Partner,Contract_Two year,OnlineBackup_No,Dependents,Churn
633.3,70.36666666666666,8,80.65,1,1,0,1,0,1,1,1,0,0,0,1
4456.35,73.05491803278689,60,74.85,0,0,0,0,0,1,0,1,0,0,1,0
1752.55,92.23947368421052,18,95.45,1,1,1,1,1,1,1,0,0,1,0,1
6311.2,98.6125,63,99.65,0,0,0,1,0,1,1,1,0,1,1,0
7076.35,105.61716417910448,66,108.45,0,1,1,0,1,1,1,1,0,0,1,0
894.3,25.55142857142857,34,24.95,0,0,0,0,0,0,0,1,1,0,1,0
7853.7,107.58493150684932,72,107.5,0,1,0,0,0,1,1,0,1,1,0,0
4707.1,98.06458333333335,47,100.5,1,1,1,1,0,1,1,1,0,1,0,0
5450.7,89.35573770491803,60,89.9,1,1,0,1,1,1,1,0,0,0,0,0
2962.0,40.57534246575342,72,42.1,0,0,0,1,1,0,0,1,1,0,0,0
957.1,50.373684210526314,18,54.4,0,1,0,0,0,1,0,1,0,1,1,0
857.25,85.725,9,94.4,1,1,1,1,0,0,1,0,0,1,0,1
244.1,61.025,3,75.3,1,1,1,0,0,1,0,0,0,0,0,0
3650.35,76.04895833333333,47,78.9,0,1,1,1,1,1,1,1,0,0,0,0
2497.2,78.0375,31,79.2,0,1,0,0,0,0,0,0,1,0,0,0
930.9,18.25294117647059,50,20.15,0,0,0,0,0,0,0,1,1,0,1,0
887.35,80.66818181818182,10,79.85,1,0,0,1,1,1,1,0,0,1,0,0
49.05,24.525,1,49.05,1,1,0,0,1,0,0,0,0,1,0,0
1090.65,20.578301886792456,52,20.4,0,0,1,0,0,1,0,1,0,0,1,0
7099.0,109.21538461538462,64,111.6,0,0,0,0,1,1,1,1,1,1,1,0
1424.6,22.61269841269841,62,24.25,0,0,0,0,1,1,0,1,1,0,1,0
177.4,44.35,3,64.5,1,0,0,0,0,1,0,0,0,1,1,0
6139.5,107.71052631578948,56,110.5,0,0,1,1,0,0,1,0,0,0,0,0
2688.85,57.2095744680851,46,55.65,0,1,0,1,0,0,0,0,0,1,0,0
482.25,53.583333333333336,8,54.65,1,0,0,1,0,0,0,1,0,0,1,0
2111.3,68.10645161290323,30,74.75,1,0,1,1,1,1,0,0,0,0,0,0
1216.6,26.44782608695652,45,25.9,0,0,0,0,0,1,0,1,0,0,1,0
79.35,39.675,1,79.35,1,1,1,1,0,1,1,0,0,1,1,1
565.35,47.112500000000004,11,50.55,1,0,1,1,0,0,0,1,0,1,1,0
496.9,62.1125,7,75.15,1,1,0,1,0,1,1,1,0,1,0,1
4327.5,100.63953488372093,42,103.8,1,1,0,0,0,1,1,0,0,0,0,0
973.35,19.467,49,20.15,0,0,0,0,0,1,0,1,1,0,0,0
918.75,91.875,9,99.3,1,1,0,1,1,1,1,0,0,0,0,0
2215.45,61.540277777777774,35,62.15,0,0,0,1,0,1,0,1,0,1,0,0
1057.0,21.571428571428573,48,20.65,0,0,0,0,0,0,0,1,1,0,1,0
927.1,19.72553191489362,46,19.95,0,0,0,0,0,1,0,1,1,0,1,0
1009.25,33.641666666666666,29,33.75,1,1,0,1,1,0,0,1,0,1,0,0
2570.2,82.90967741935484,30,82.05,1,1,0,1,1,0,1,1,0,0,1,0
74.7,37.35,1,74.7,1,1,1,0,1,0,1,0,0,1,0,0
5714.25,85.28731343283582,66,84.0,0,0,0,0,1,1,0,1,1,1,1,0
7107.0,107.68181818181819,65,111.05,1,0,0,1,0,1,1,0,0,0,0,0
7459.05,102.17876712328767,72,100.9,0,1,0,1,1,1,1,0,1,0,0,0
927.35,71.33461538461539,12,78.95,1,0,1,1,0,1,1,0,0,1,0,1
4748.7,65.95416666666667,71,66.85,0,0,0,0,1,1,0,1,0,0,1,0
113.85,18.974999999999998,5,21.05,1,0,0,0,1,0,0,0,0,0,0,1
1107.2,20.89056603773585,52,21.0,0,0,0,0,1,0,0,0,1,0,0,0
2514.5,96.71153846153847,25,98.5,1,1,1,1,0,1,1,1,0,0,0,1
20.2,10.1,1,20.2,1,0,0,0,1,0,0,0,0,0,0,0
19.45,9.725,1,19.45,1,0,1,0,0,0,0,1,0,0,1,0
3605.6,92.45128205128205,38,95.0,0,1,0,0,1,0,1,0,0,1,0,0
3027.25,45.18283582089552,66,45.55,0,1,0,1,0,0,0,1,0,0,0,0
7611.85,110.31666666666668,68,110.0,0,1,0,0,1,1,1,1,1,0,0,1
100.2,16.7,5,24.3,1,1,0,1,1,0,0,0,0,1,0,0
7303.05,100.04178082191781,72,104.15,0,0,1,1,0,1,1,1,0,0,1,0
927.65,28.11060606060606,32,30.15,0,0,0,1,0,0,0,0,0,1,0,0
3921.3,89.12045454545455,43,94.35,0,1,0,1,1,0,1,0,0,1,0,0
1363.25,18.674657534246574,72,19.4,0,0,0,0,1,0,0,1,1,0,1,0
5238.9,93.55178571428571,55,96.75,1,0,1,1,1,1,1,1,0,0,0,1
3042.25,57.40094339622642,52,57.95,0,0,0,0,0,0,0,0,0,1,0,0
3954.1,89.86590909090908,43,91.65,1,1,1,1,0,1,1,0,0,0,0,0
2868.15,75.47763157894737,37,76.5,1,1,1,1,0,1,1,1,0,1,0,1
3423.5,52.66923076923077,64,54.6,0,1,1,0,0,1,0,1,1,0,1,0
248.4,62.1,3,89.85,1,0,1,1,1,0,1,1,0,0,1,0
1126.35,30.44189189189189,36,31.05,0,0,0,1,0,0,0,0,1,1,0,0
1064.65,96.78636363636365,10,100.25,1,0,1,1,0,1,1,1,0,1,1,1
835.15,19.88452380952381,41,20.65,0,0,0,0,0,0,0,0,1,0,0,0
2151.6,76.84285714285714,27,85.2,1,1,0,0,1,1,1,1,0,0,1,0
5515.45,96.76228070175438,56,99.8,0,1,0,1,0,1,1,1,0,1,1,0
112.75,16.107142857142858,6,20.7,1,0,0,0,0,0,0,0,0,0,0,0
229.55,57.3875,3,74.4,1,1,1,1,1,1,1,0,0,1,0,1
350.35,43.79375,7,50.7,1,0,0,1,0,0,0,1,0,1,1,0
62.9,12.58,4,20.85,1,0,0,0,0,0,0,1,0,0,1,0
3027.65,89.0485294117647,33,88.95,0,0,1,0,1,1,1,0,1,1,0,0
2135.5,76.26785714285714,27,78.05,1,1,1,1,0,1,1,0,0,1,0,1
1723.95,23.615753424657534,72,23.55,0,0,0,0,1,1,0,1,1,0,0,0
19.75,9.875,1,19.75,1,0,0,0,1,0,0,0,0,0,0,0
3985.35,55.35208333333333,71,56.45,0,0,1,1,1,1,0,0,0,0,0,0
1215.65,86.83214285714287,13,85.95,1,1,1,1,0,1,1,0,0,1,0,0
1502.65,57.79423076923077,25,58.6,1,0,0,1,0,1,0,1,0,0,1,1
3260.1,47.942647058823525,67,50.55,0,1,0,0,1,0,0,0,1,1,0,0
35.45,17.725,1,35.45,1,1,1,1,1,1,0,0,0,1,0,1
81.25,27.083333333333332,2,44.35,1,1,1,1,1,0,0,0,0,1,0,1
1188.2,27.004545454545454,43,25.7,0,0,0,0,0,1,0,0,1,0,0,0
1778.5,74.10416666666667,23,75.0,1,0,0,1,0,1,1,0,0,1,0,0
1277.75,19.657692307692308,64,20.2,0,0,0,0,0,0,0,1,1,0,1,0
1170.55,20.181896551724137,57,19.6,0,0,0,0,1,1,0,0,1,0,1,0
70.45,35.225,1,70.45,1,1,0,1,0,1,1,1,0,1,0,1
6425.65,88.02260273972603,72,88.05,0,0,0,0,0,1,0,1,1,0,1,0
563.65,62.62777777777777,8,71.15,1,0,1,0,0,0,0,0,0,1,0,1
5971.25,96.31048387096774,61,101.05,0,1,0,1,0,1,1,1,1,0,0,0
5289.05,81.37,64,84.3,0,0,0,1,1,1,1,0,0,0,0,0
1756.2,24.391666666666666,71,23.95,0,0,0,0,1,0,0,1,1,0,0,0
6416.7,97.22272727272727,65,99.05,0,0,0,0,0,1,1,1,1,0,1,0
61.35,15.3375,3,19.6,0,0,0,0,1,0,0,0,0,0,0,0
45.65,22.825,1,45.65,1,1,1,1,1,1,0,0,0,1,0,1
1929.95,62.25645161290323,30,64.5,0,1,0,1,1,0,0,0,0,0,1,0
1071.4,66.9625,15,69.5,1,1,0,0,1,1,0,1,0,0,1,0
564.35,62.705555555555556,8,68.55,1,1,1,0,0,1,0,1,0,1,1,0
655.5,81.9375,7,95.0,1,1,0,1,1,0,1,0,0,1,0,1
7930.55,111.69788732394366,70,108.15,0,0,0,1,0,1,1,1,0,0,1,0
5215.25,82.78174603174604,62,86.1,0,0,1,0,1,0,0,1,1,0,1,0
113.5,16.214285714285715,6,19.7,1,0,0,0,0,0,0,1,0,0,1,0
1152.8,76.85333333333332,14,80.9,1,1,0,1,0,1,1,1,0,1,1,0
1821.95,79.21521739130435,22,84.15,1,1,0,1,0,1,1,0,0,1,0,0
419.9,18.256521739130434,22,20.15,0,0,0,0,1,0,0,1,0,0,1,0
1024.0,60.23529411764706,16,64.25,0,0,0,1,1,0,0,1,1,1,1,0
251.6,22.87272727272727,10,25.7,0,0,0,0,1,0,0,0,1,0,0,0
764.55,54.61071428571428,13,56.0,1,0,1,1,0,1,0,0,0,0,1,0
1592.35,75.82619047619048,20,82.4,1,0,1,1,0,0,1,1,0,1,0,1
135.2,45.06666666666666,2,69.7,1,1,1,1,0,1,1,0,0,1,0,0
3958.25,73.30092592592592,53,73.9,0,1,0,0,1,1,0,0,1,0,0,0
233.9,19.491666666666667,11,20.6,0,0,0,0,0,0,0,1,0,0,1,0
1363.45,19.477857142857143,69,19.9,0,0,0,0,1,0,0,1,1,0,0,0
273.0,54.6,4,70.9,1,1,0,1,0,1,1,0,0,1,0,1
6254.45,85.67739726027396,72,89.05,0,0,0,0,1,1,0,1,1,0,0,0
2651.2,44.93559322033898,58,45.3,1,1,1,1,1,1,0,1,0,0,0,1
321.4,18.905882352941177,16,20.4,1,0,1,0,0,0,0,1,0,0,1,0
3539.25,80.4375,43,84.25,0,0,0,0,1,1,1,1,0,1,0,0
242.8,80.93333333333334,2,104.4,1,1,1,0,0,1,1,1,0,1,0,1
1181.75,78.78333333333333,14,81.95,0,1,0,0,1,0,0,1,1,0,0,0
5000.2,92.59629629629629,53,94.85,0,1,0,1,0,1,1,1,0,1,0,1
654.55,19.834848484848482,32,20.55,0,0,0,0,0,0,0,0,0,0,0,0
780.2,22.291428571428572,34,24.7,1,0,1,0,0,0,0,1,0,0,0,0
1145.7,71.60625,15,74.45,1,1,0,1,0,1,1,0,0,1,0,1
503.6,62.95,7,76.45,1,0,0,1,0,0,1,0,0,1,0,1
1559.25,97.453125,15,105.35,1,1,0,1,0,1,1,1,0,0,1,0
1252.0,20.193548387096776,61,20.55,0,0,0,0,1,1,0,1,0,0,0,0
29.95,14.975,1,29.95,1,1,0,1,0,0,0,0,0,0,0,1
45.3,22.65,1,45.3,1,1,0,1,0,0,0,0,0,1,0,0
662.65,73.62777777777778,8,84.5,1,1,0,1,1,0,1,0,0,1,0,1
2453.3,72.15588235294118,33,74.75,0,0,0,1,1,0,0,1,0,1,1,0
1111.65,79.40357142857144,13,79.25,1,1,1,1,0,1,1,0,0,0,0,1
24.8,12.4,1,24.8,1,1,1,1,0,1,0,1,0,1,0,1
1023.85,48.75476190476191,20,51.8,1,1,0,1,1,1,0,0,0,0,0,0
82.15,20.5375,3,30.4,1,1,1,0,1,0,0,0,0,1,0,0
244.8,17.485714285714288,13,19.65,0,0,1,0,0,0,0,0,0,0,0,0
2379.1,58.02682926829268,40,56.6,1,1,0,1,0,0,0,1,0,0,0,0
3173.35,72.12159090909091,43,71.9,0,0,0,0,1,1,0,1,0,1,1,0
531.0,75.85714285714286,6,91.0,1,1,1,1,1,1,1,1,0,0,0,1
1375.4,19.64857142857143,69,19.75,0,0,0,0,0,0,0,1,1,0,1,0
8129.3,111.36027397260274,72,109.7,0,0,0,1,0,0,1,1,1,0,1,0
1192.7,19.878333333333334,59,19.3,0,0,0,0,1,0,0,1,1,0,1,0
1901.65,90.5547619047619,20,96.55,1,0,1,0,0,1,1,1,0,0,0,0
587.4,23.496,24,24.1,0,0,0,0,1,1,0,1,1,0,1,0
6519.75,108.6625,59,111.35,1,1,1,0,1,1,1,0,0,0,0,0
8041.65,110.15958904109588,72,112.25,0,1,0,0,1,1,1,1,1,0,1,0
20.75,10.375,1,20.75,1,0,0,0,1,0,0,0,0,0,1,0
2681.15,95.75535714285715,27,101.9,0,0,0,0,0,1,1,1,0,1,0,0
1112.3,74.15333333333334,14,80.05,1,1,0,0,0,1,1,0,0,0,0,0
7405.5,102.85416666666667,71,105.55,0,0,1,1,1,0,1,1,1,1,1,0
1033.95,73.85357142857143,13,78.3,1,1,0,1,1,1,1,0,0,1,1,0
2958.95,65.75444444444445,44,68.85,1,1,0,1,1,0,1,0,0,1,0,0
2684.85,78.96617647058824,33,79.95,0,1,0,0,0,1,1,0,0,0,0,0
4179.2,57.249315068493146,72,55.45,0,0,0,0,1,1,0,1,1,0,1,0
79.9,39.95,1,79.9,1,1,1,1,1,0,1,0,0,1,0,1
1934.45,96.7225,19,106.6,1,0,1,0,0,1,1,0,0,1,0,1
6654.1,102.37076923076924,64,102.45,0,1,0,0,1,1,1,1,0,0,0,0
84.5,28.166666666666668,2,46.0,1,1,0,1,1,1,0,0,0,1,0,1
25.25,12.625,1,25.25,1,1,1,1,0,0,0,0,0,1,0,0
1124.2,18.13225806451613,61,19.75,0,0,0,0,1,0,0,0,1,0,1,0
540.05,18.001666666666665,29,20.0,0,0,1,0,0,0,0,1,0,0,1,0
1975.85,82.32708333333333,23,86.8,1,1,1,1,1,0,1,1,0,1,0,0
3437.45,59.266379310344824,57,58.75,1,0,0,1,0,1,0,1,0,0,0,0
3139.8,43.01095890410959,72,45.25,0,0,0,0,1,0,0,1,1,0,1,0
3789.2,56.55522388059701,66,56.6,0,0,0,0,1,1,0,1,1,0,0,0
5324.5,80.67424242424242,65,84.2,0,1,0,0,1,1,0,1,1,0,1,0
624.6,69.4,8,80.0,1,1,0,1,0,1,1,0,0,1,0,0
268.35,53.67,4,70.15,1,1,1,1,0,1,1,0,0,1,0,1
1836.9,25.512500000000003,71,24.75,0,0,0,0,0,0,0,1,1,0,0,0
20.2,10.1,1,20.2,0,0,1,0,1,1,0,1,0,0,1,0
179.35,35.87,4,50.05,1,1,0,0,1,0,0,1,0,1,0,1
219.35,16.873076923076923,12,19.35,0,0,0,0,0,1,0,0,0,0,0,0
1288.75,51.55,24,50.6,0,0,0,1,1,1,0,0,0,1,0,0
2545.75,79.5546875,31,81.15,0,0,0,0,0,1,0,1,0,1,1,0
55.2,27.6,1,55.2,1,1,0,1,0,0,0,1,0,1,0,1
2723.15,87.84354838709677,30,89.9,1,1,0,0,1,1,1,0,0,1,0,0
4107.25,85.56770833333333,47,85.3,0,0,0,0,0,1,0,1,1,0,1,0
5760.65,104.7390909090909,54,108.0,0,0,0,0,1,1,1,0,1,0,0,0
4747.5,93.08823529411765,50,93.5,1,0,0,0,1,1,1,0,0,0,0,0
84.6,42.3,1,84.6,1,0,0,1,1,1,1,0,0,1,0,1
1566.9,21.464383561643835,72,20.25,0,0,0,0,0,0,0,0,1,0,0,0
702.0,23.4,29,25.15,1,0,1,0,0,0,0,0,0,0,0,0
114.1,38.03333333333333,2,54.4,1,1,0,1,1,1,0,0,0,0,0,1
299.05,27.186363636363637,10,29.6,0,1,0,0,0,1,0,0,1,1,0,0
1305.95,68.73421052631579,18,73.15,1,1,1,1,1,1,1,1,0,1,0,0
1120.3,93.35833333333333,11,95.0,1,1,1,1,0,1,1,0,0,0,0,1
284.35,16.726470588235294,16,19.75,0,0,0,0,1,0,0,0,1,0,0,0
6350.5,86.9931506849315,72,86.6,0,1,0,0,0,0,0,0,1,0,0,0
7878.3,107.92191780821918,72,109.2,0,1,0,0,1,0,1,0,1,0,0,0
3187.65,75.89642857142857,41,74.7,0,0,0,0,0,1,0,1,0,1,1,0
6126.15,92.82045454545454,65,94.4,1,0,1,1,0,0,1,1,0,0,0,0
731.3,52.23571428571428,13,54.8,1,1,1,1,0,1,0,0,0,0,0,0
273.4,54.67999999999999,4,75.35,1,0,1,1,1,0,1,0,0,1,0,0
2531.8,60.280952380952385,41,65.0,0,1,0,1,1,0,0,0,0,1,0,0
1074.3,67.14375,15,74.4,1,1,1,1,1,1,1,0,0,0,0,1
48.55,24.275,1,48.55,1,0,0,1,1,1,0,0,0,1,0,1
4298.45,99.96395348837208,42,99.0,0,0,1,1,1,1,1,0,0,0,0,0
4619.55,88.8375,51,93.5,0,0,1,1,0,1,1,1,0,0,0,0
147.15,49.050000000000004,2,70.4,1,1,1,1,0,0,1,1,0,1,1,1
40.2,20.1,1,40.2,1,1,1,1,1,0,0,1,0,0,0,1
2633.3,79.7969696969697,32,83.7,0,1,0,0,1,0,0,0,0,0,1,0
193.05,17.55,10,19.85,1,0,0,0,1,1,0,0,0,0,0,0
4103.9,60.35147058823529,67,59.55,0,1,1,0,0,1,0,1,1,0,1,0
7008.15,113.03467741935484,61,115.1,0,0,0,0,0,0,1,1,1,0,1,0
5791.1,113.55098039215687,50,114.35,0,0,0,0,1,0,1,0,0,0,0,0
80.55,26.849999999999998,2,44.6,1,1,0,1,0,1,0,1,0,1,0,1
1228.65,40.955000000000005,29,45.0,1,0,1,1,0,1,0,1,0,1,0,0
132.2,33.05,3,41.15,1,1,1,1,1,1,0,0,0,1,0,1
1364.3,97.45,13,106.9,1,1,1,1,1,1,1,0,0,0,0,1
4925.35,84.9198275862069,57,89.85,1,1,1,1,1,1,1,1,0,0,0,0
1520.1,47.503125,31,49.85,0,0,0,0,0,1,0,0,1,0,0,0
5032.25,109.39673913043478,45,113.3,0,0,0,0,0,0,1,1,0,0,0,0
5526.75,89.14112903225806,61,88.1,0,0,0,0,0,0,0,1,1,0,1,0
1195.25,23.436274509803923,50,24.9,0,0,0,0,1,0,0,0,1,0,0,0
2007.25,100.3625,19,105.0,1,0,0,0,0,1,1,0,0,0,0,0
1099.6,18.326666666666664,59,19.35,0,0,0,0,1,0,0,0,1,0,0,1
1732.95,24.06875,71,24.25,0,0,0,0,0,1,0,1,1,0,0,0
1511.2,88.89411764705882,16,94.45,1,1,1,0,0,1,1,0,0,1,0,1
3450.15,59.48534482758621,57,59.75,0,0,1,0,1,1,0,1,1,0,0,0
24.8,12.4,1,24.8,1,1,0,1,1,0,0,0,0,1,0,1
2172.05,103.43095238095239,20,107.05,1,1,1,0,1,0,1,1,0,0,0,0
70.6,35.3,1,70.6,1,1,0,1,1,0,1,0,0,1,0,1
401.1,66.85000000000001,5,85.4,1,1,1,0,1,1,1,1,0,0,0,1
5624.85,106.12924528301888,52,105.05,1,1,1,1,0,1,1,1,0,0,0,1
1339.8,60.9,21,64.95,1,0,0,1,1,1,0,1,0,0,0,0
771.95,51.46333333333334,14,55.0,1,1,1,0,1,1,0,0,0,1,0,0
244.75,40.791666666666664,5,50.55,1,1,0,1,0,0,0,0,0,0,0,0
322.9,46.128571428571426,6,55.15,1,0,0,1,0,0,0,0,0,0,0,0
498.25,45.29545454545455,10,51.2,1,1,1,1,0,0,0,0,0,0,0,0
25.4,12.7,1,25.4,1,0,0,0,0,0,0,0,0,0,1,0
3687.75,53.44565217391305,68,54.45,1,0,0,1,0,0,0,0,0,1,0,0
1779.95,93.68157894736842,18,95.15,1,1,0,1,1,0,1,1,0,1,1,1
1783.6,77.54782608695652,22,76.0,0,1,0,1,0,1,1,0,0,1,0,0
927.15,44.15,20,44.35,1,1,1,1,0,1,0,0,0,1,0,0
70.0,35.0,1,70.0,1,1,1,1,1,0,1,1,0,1,0,1
606.55,67.39444444444445,8,74.5,1,1,1,1,1,1,1,0,0,0,0,1
435.4,39.58181818181818,10,44.85,1,1,0,1,1,1,0,0,0,1,0,1
1712.7,68.508,24,76.1,1,1,1,1,1,1,1,0,0,1,0,1
2021.2,56.144444444444446,35,61.2,0,0,0,1,1,0,0,0,0,0,0,0
1940.8,80.86666666666666,23,86.8,0,1,0,0,1,0,1,1,0,0,1,0
567.8,81.11428571428571,6,89.35,1,1,1,1,0,1,1,0,0,1,0,0
220.35,16.95,12,19.7,1,0,0,0,0,0,0,0,0,0,0,0
20.25,10.125,1,20.25,1,0,0,0,1,0,0,0,0,0,0,0
5436.45,75.50625,71,76.05,0,1,1,1,0,0,1,1,1,1,1,0
3437.5,95.48611111111111,35,100.8,1,1,1,1,1,1,1,1,0,1,0,0
3015.75,73.5548780487805,40,74.55,1,1,1,1,1,1,0,1,0,1,1,0
73.6,36.8,1,73.6,1,0,0,1,0,1,1,0,0,1,1,1
1509.8,62.90833333333333,23,64.9,0,1,0,1,1,1,0,0,0,1,0,0
396.1,79.22,4,95.45,1,1,1,1,0,1,1,0,0,1,0,1
356.65,71.33,4,90.4,1,1,1,0,1,1,1,0,0,1,0,0
4109.0,59.55072463768116,68,60.3,0,1,0,0,0,0,0,1,1,0,1,0
3141.7,80.55641025641025,38,81.85,1,1,0,1,1,1,1,0,0,0,1,0
1229.1,23.19056603773585,52,24.8,0,0,0,0,1,0,0,1,1,0,1,0
2303.35,69.79848484848485,32,74.9,1,1,1,1,1,1,1,1,0,1,0,1
2054.4,68.48,29,75.55,0,1,0,0,1,0,0,1,1,1,1,0
3741.85,95.94487179487179,38,101.15,1,1,1,1,1,0,1,1,0,0,1,0
3682.45,75.15204081632653,48,78.75,0,0,0,1,1,1,0,0,0,1,1,0
19.25,9.625,1,19.25,1,0,0,0,0,1,0,0,0,0,0,0
1886.25,82.01086956521739,22,89.05,1,0,1,0,0,1,1,0,0,1,0,0
4895.1,111.25227272727274,43,115.05,0,0,0,0,0,0,1,0,1,0,0,0
341.6,56.93333333333334,5,69.35,1,1,1,1,0,1,1,1,0,1,0,0
415.55,69.25833333333334,5,80.6,1,1,1,1,1,1,1,0,0,1,0,1
5686.4,109.35384615384615,51,110.05,0,0,0,0,1,0,1,1,0,0,1,0
1355.1,18.820833333333333,71,19.9,0,0,0,0,1,1,0,0,1,0,0,0
3058.65,78.42692307692307,38,80.3,0,0,0,0,0,0,0,1,0,0,1,1
2231.05,89.242,24,93.15,1,1,1,1,1,1,1,1,0,1,0,1
3236.35,89.89861111111111,35,91.5,1,1,0,0,1,1,1,1,0,1,0,0
4350.1,79.09272727272727,54,82.45,0,0,0,0,0,0,0,0,0,0,0,1
4264.0,58.41095890410959,72,60.0,0,1,1,0,0,1,0,1,1,0,1,0
44.8,22.4,1,44.8,1,1,1,1,1,1,0,0,0,1,0,0
422.3,42.230000000000004,9,48.6,0,0,0,1,0,0,0,1,0,1,1,0
4176.7,59.667142857142856,69,60.05,0,0,0,0,1,1,0,0,1,0,0,0
5138.1,96.94528301886793,52,102.7,1,1,0,0,0,1,1,1,0,0,0,0
880.05,73.33749999999999,11,82.9,1,1,1,0,0,1,1,1,0,1,0,0
139.05,46.35,2,70.35,1,1,1,1,0,1,1,0,0,1,0,1
973.65,33.574137931034485,28,35.9,1,1,1,1,0,1,0,1,0,1,1,0
1470.05,81.66944444444444,17,82.65,1,1,0,1,0,1,1,0,0,1,0,0
